iterations,auc1,auc0,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10,auc11,auc12,auc13,auc14
20,0.89435311338813195,0.92260061919504643,0.89711134453781516,0.88674738042238987,0.88172539225799451,0.87210419558022845,0.90720081135902642,0.88016628800696084,0.89635702263966555,0.9012498592500845,0.91601635079895949,0.89753923347923559,0.88884076433121018,0.90634556574923553,0.90087478783130959
40,0.90628870622677626,0.93330308529945549,0.9090861344537815,0.89945165318421194,0.90135186492209129,0.88761076118287607,0.91817017188000427,0.89232368153913089,0.90610239426678973,0.91400180159891908,0.92416520677390246,0.90997651329134199,0.8978343949044586,0.92119921363040624,0.91092831962397181
60,0.91093345343992793,0.93765346428952712,0.91386554621848737,0.90401216135512241,0.90854552364406316,0.89492366819686131,0.92099925269563365,0.89817276550490643,0.90911558716542695,0.91746424952145034,0.92517385995646861,0.91510088608946305,0.89994904458598723,0.92442114460463087,0.915132523828176
80,0.91304470217317868,0.93920145190562609,0.91599264705882355,0.90640099896845649,0.91193875889027631,0.89833991672894198,0.92153304152877125,0.90063808188717553,0.91050002714588196,0.91830874901475057,0.92504114243244673,0.91819686132166112,0.90058598726114647,0.92474879860200965,0.91729990860425648
100,0.91372030176781893,0.94010889292196009,0.91772584033613447,0.90778543894891151,0.91419186709376188,0.90106223977794386,0.92198676203693819,0.9025958331319186,0.91044573538194251,0.91856209886274065,0.92382014121144551,0.92038539553752541,0.90084076433121019,0.92403888160768899,0.91923227575401489
120,0.91397365161580901,0.94040247678018574,0.91838235294117643,0.90876269069982085,0.91495195178891364,0.9026902957190136,0.92166648873705559,0.90421520761831098,0.91044573538194251,0.91805539916676049,0.9235281626585975,0.921132699903918,0.90040764331210188,0.92341087811271294,0.91991121556338951
140,0.91411440153135903,0.94016227180527379,0.91872373949579833,0.90957706715891196,0.91557630707421689,0.90333084231877869,0.92123945767054549,0.90448107507130082,0.90941419186709371,0.91813984911609048,0.92291766204809678,0.92179993594534004,0.89936305732484079,0.92234600262123201,0.91985898942420685
160,0.91402995158202904,0.94010889292196009,0.91914390756302522,0.91006569303436669,0.91587491177588365,0.90421159389345573,0.9208658054873492,0.90436022622903267,0.90838264835224491,0.91785834928499044,0.92193555237033498,0.92236041422013448,0.89913375796178341,0.9209807776321538,0.92027679853766808
180,0.91445220132867922,0.9395751040888225,0.91909138655462186,0.91047288126391224,0.91609207883164123,0.90498558770150528,0.9205989110707804,0.90462609368202251,0.90762256365709326,0.91735164958901028,0.92108616021659495,0.92326785523646848,0.8985732484076433,0.92016164263870681,0.92027679853766808
200,0.91439590136245918,0.9395217252055087,0.91885504201680668,0.91071719420163966,0.91620066235952002,0.90522579267641723,0.92003843279598596,0.90484362159810505,0.90669960367012326,0.91698569980858013,0.91999787651961562,0.92361481797800793,0.89778343949044581,0.91939711664482304,0.92038125081603339
220,0.91402995158202904,0.9390946941389986,0.91869747899159659,0.91039144361800317,0.91603778706770178,0.90493220881819147,0.91942457563787761,0.90508531928264124,0.90596666485694122,0.91571895056862962,0.91986515899559373,0.92372157574463543,0.89712101910828024,0.91896024464831805,0.92017234625930278
240,0.91357955185226891,0.93858759474751785,0.91867121848739497,0.91009283891633641,0.91647212117921706,0.90447848831002453,0.91902423401302447,0.9050128099772804,0.90523372604375918,0.91504335097398937,0.91906885385146253,0.92334792356143913,0.89673885350318472,0.91803189165574484,0.91988510249379818
260,0.91357955185226891,0.9382406320059784,0.91825105042016808,0.91017427656224548,0.91636353765133827,0.90389132059357313,0.91849044517988687,0.90559288442016728,0.90414789076497093,0.91448035131178917,0.91827254870733133,0.92334792356143913,0.89569426751592351,0.91734927916120579,0.91957174565870214
280,0.91312915212250878,0.93789366926443896,0.91811974789915962,0.90965850480482113,0.91666214235300503,0.90333084231877869,0.91806341411337677,0.90578624256779616,0.90314349313209186,0.91408625154824907,0.91747624356320012,0.92334792356143913,0.89505732484076428,0.91672127566622974,0.91965008486747613
300,0.91304470217317868,0.93773353261449766,0.91783088235294119,0.90952277539497262,0.91677072588088382,0.90303725846055305,0.91731610974698408,0.90576207279934262,0.90235626255497037,0.91372030176781893,0.91675956893348198,0.92348137076972348,0.89464968152866242,0.9165028396679773,0.91923227575401489
320,0.9127913523251886,0.93746663819792886,0.91743697478991593,0.90954992127694234,0.91660785058906569,0.9027970534856411,0.91702252588875843,0.90585875187315701,0.90186763667951575,0.91377660173403896,0.91612252481817702,0.92353474965303728,0.89416560509554144,0.91636631716906947,0.91899725812769295
340,0.91208760274743839,0.93709298601473257,0.91717436974789912,0.90998425538845762,0.91687930940876272,0.90255684851072915,0.91683569979716029,0.9061971286315077,0.90173190726966723,0.9131854520887287,0.91537930668365453,0.92337461300309598,0.89375796178343947,0.91595674967234597,0.91912782347564959
360,0.91177795293322828,0.93655919718159497,0.91636029411764708,0.90990281774254844,0.91644497529724744,0.9020497491192484,0.91648873705562084,0.90617295886305405,0.90083609316466695,0.9127913523251886,0.91479534957795827,0.92332123411978217,0.89340127388535029,0.91565640017474881,0.91884057971014488
380,0.91138385316968806,0.93631899220668302,0.91609768907563027,0.90960421304088168,0.91630924588739893,0.90143589196114016,0.91606170598911074,0.90612461932614685,0.90061892610890926,0.91225650264609837,0.91410521845304449,0.92332123411978217,0.89268789808917193,0.91551987767584098,0.91834443138790967
400,0.91101790338925792,0.93586527169851608,0.91601890756302518,0.9093870459851241,0.91603778706770178,0.90124906586954201,0.91558129603928684,0.90600377048387881,0.89999457082360601,0.91200315279810829,0.91352126134734835,0.92342799188640978,0.89230573248407641,0.91453691568370465,0.91805718762240507
420,0.91059565364260786,0.93546493007366283,0.91530987394957986,0.90933275422118465,0.91584776589391392,0.90060851926977692,0.91550122771431619,0.90590709141006431,0.89947879906618167,0.91166535300078821,0.91293730424165209,0.92329454467812533,0.89177070063694264,0.91423656618610749,0.91782216999608301
440,0.9103986037608377,0.93522472509875099,0.91509978991596641,0.9092784624572452,0.91571203648406541,0.90039500373652182,0.91536778050603185,0.90605211002078601,0.89912590260057546,0.91169350298389817,0.91253915166958643,0.92310771858652718,0.89141401273885346,0.91363586719091305,0.91711711711711708
460,0.90969485418308749,0.93495783068218208,0.91444327731092434,0.9092784624572452,0.91533199413648947,0.90004804099498237,0.9149674388811786,0.90593126117851785,0.89852869319724193,0.91104605337236799,0.91222062961193395,0.92276075584498773,0.8908789808917198,0.91328090869375278,0.91669930800365584
480,0.90910370453777722,0.93471762570727024,0.91397058823529409,0.90895271187360882,0.9152505564905804,0.89954094160350162,0.914647165581296,0.90600377048387881,0.89817579673163583,0.91068010359193785,0.9118224770398683,0.92252055087007578,0.89031847133757958,0.91276212319790306,0.91651651651651656
500,0.90890665465600717,0.93426390519910318,0.91365546218487392,0.90854552364406316,0.9152505564905804,0.89922066830361913,0.91446033948969785,0.90573790303088897,0.89785004614799935,0.91073640355815788,0.91137123745819393,0.92228034589516383,0.89003821656050952,0.91235255570117957,0.91620315968142052
520,0.90879405472356711,0.93397032134087754,0.91323529411764703,0.90849123188012382,0.91503338943482271,0.89922066830361913,0.91408668730650156,0.90571373326243532,0.89706281557087786,0.9103986037608377,0.91105271540054145,0.92222696701185014,0.88955414012738854,0.91210681520314552,0.91581146363755062
540,0.90859700484179706,0.93386356357425004,0.9129464285714286,0.90832835658830557,0.91489766002497419,0.89895377388705033,0.91381979288993276,0.90588292164161066,0.89689994027905962,0.91008895394662759,0.91068110633328025,0.92204014092025199,0.88919745222929936,0.91145150720838797,0.91544588066327193
560,0.90817475509514689,0.93362335859933809,0.91273634453781516,0.90813833541451761,0.91468049296921661,0.89863350058716773,0.91325931461513821,0.90590709141006431,0.89635702263966555,0.90992005404796761,0.91022986675160589,0.92179993594534004,0.88843312101910832,0.91128768020969853,0.91508029768899335
580,0.90797770521337684,0.93311625920785735,0.91244747899159662,0.90808404365057815,0.91443618003148919,0.89815309063734383,0.91285897299028507,0.90588292164161066,0.8958412508822412,0.90949780430131744,0.90991134469395341,0.92158642041208494,0.88792356687898089,0.91076889471384881,0.91471471471471466
600,0.90763990541605677,0.93295612255791605,0.91223739495798317,0.90778543894891151,0.91408328356588309,0.89793957510408884,0.91269883634034377,0.90581041233624982,0.89518974971496823,0.90921630447021728,0.90959282263630092,0.92150635208711429,0.88764331210191083,0.91041393621668854,0.91440135787961874
620,0.90772435536538676,0.9328760542329454,0.91207983193277309,0.90778543894891151,0.91400184591997391,0.89751254403757874,0.91216504750720617,0.90571373326243532,0.8947011238395135,0.90890665465600717,0.90916812655943091,0.92142628376214375,0.88710828025477706,0.91033202271734381,0.91442747094921006
640,0.90758360544983674,0.93271591758300421,0.91163340336134457,0.90754112601118408,0.91383897062815567,0.89716558129603929,0.91171132699903923,0.90568956349398178,0.89383245561648295,0.908484404909357,0.90884960450177843,0.9214529732038006,0.88690445859872613,0.90994975972040193,0.91414022718370547
660,0.90738655556806669,0.9325024020497491,0.91131827731092441,0.90737825071936584,0.91359465769042836,0.89684530799615669,0.91139105369915663,0.90566539372552812,0.89342526738693739,0.90820290507825696,0.90871688697775654,0.92137290487882995,0.88659872611464963,0.90973132372214938,0.91374853113983545
680,0.90724580565251656,0.93252909149140595,0.91118697478991595,0.90694391660785056,0.91359465769042836,0.8964182769296466,0.91115084872424468,0.90556871465171362,0.89301807915739184,0.90783695529782682,0.90823910389127782,0.9213462154371731,0.88629299363057323,0.90956749672346004,0.91353962658310484
700,0.9068235559058665,0.9325024020497491,0.91089810924369752,0.90678104131603232,0.91348607416254957,0.89609800362976411,0.91112415928258783,0.90544786580944558,0.89274662033769481,0.90744285553428672,0.90754897276636404,0.921132699903918,0.88593630573248405,0.90923984272608127,0.91325238281760024
720,0.90657020605787642,0.93236895484146476,0.91050420168067225,0.90675389543406271,0.9132960529887616,0.89593786697982281,0.91104409095761718,0.90544786580944558,0.8922851403442098,0.90696430582141652,0.90741625524234215,0.92073235827906486,0.88547770700636941,0.90893949322848411,0.91304347826086951
740,0.90631685620988622,0.93215543930820965,0.91018907563025209,0.90661816602421408,0.91286171887724632,0.8957243514465677,0.91101740151596033,0.90518199835645574,0.89190509799663387,0.90654205607476634,0.90717736369910285,0.92057222162912355,0.88486624203821651,0.90855723023154211,0.91291291291291288
760,0.90606350636189614,0.93186185544998401,0.90995273109243702,0.90648243661436556,0.91250882241164011,0.8952973203800576,0.91083057542436208,0.90513365881954855,0.89149790976708831,0.90609165634500621,0.90696501566066778,0.92051884274580975,0.88422929936305728,0.90842070773263439,0.91257344300822563
780,0.90575385654768603,0.93162165047507206,0.90971638655462184,0.90634670720451704,0.91229165535588252,0.89497704708017511,0.91072381765773458,0.9049644704403732,0.89117215918345183,0.90597905641256615,0.90680575463184154,0.92022525888758411,0.88361783439490449,0.90784731323722145,0.91244287766026899
800,0.90575385654768603,0.93148820326678761,0.90934873949579831,0.90621097779466853,0.91212878006406428,0.89476353154692001,0.91072381765773458,0.90489196113501236,0.89073782507193655,0.90552865668280602,0.90654031958379788,0.920011743354329,0.88326114649681531,0.90751965923984268,0.91194672933803367
820,0.90552865668280602,0.93130137717518946,0.90926995798319332,0.90588522721103204,0.91212878006406428,0.89455001601366502,0.91064374933276393,0.90494030067191955,0.89035778272436072,0.9053034568179259,0.90627488453575411,0.91990498558770151,0.88298089171974525,0.90735583224115335,0.91173782478130305
840,0.90524715685170587,0.93106117220027762,0.90921743697478996,0.90561376839133501,0.91196590477224604,0.89433650048040991,0.91040354435785198,0.9049161309034659,0.88995059449481517,0.90496565702060583,0.90624834103094976,0.91990498558770151,0.88275159235668788,0.90702817824377457,0.91155503329416376
860,0.90479675712194574,0.93087434610867936,0.90903361344537814,0.90553233074542594,0.91183017536239752,0.89420305327212557,0.91032347603288144,0.9049161309034659,0.88962484391117869,0.90465600720639572,0.9062217975261454,0.91987829614604466,0.88229299363057323,0.90680974224552202,0.91147669408538978
880,0.90451525729084559,0.93079427778370871,0.90905987394957988,0.9052608719257289,0.91174873771648846,0.89409629550549807,0.91037685491619513,0.9048677913665587,0.88938053097345138,0.90420560747663548,0.90590327546849281,0.91963809117113271,0.88203821656050951,0.90661861074705108,0.91129390259825038
900,0.90440265735840564,0.93066083057542437,0.90903361344537814,0.90509799663391066,0.91161300830663994,0.89366926443898798,0.91024340770791079,0.90474694252429066,0.88913621803572396,0.90395225762864539,0.90574401443966657,0.91966478061278956,0.88173248407643312,0.90637287024901703,0.91098054576315446
920,0.90423375745974555,0.93050069392548307,0.90892857142857142,0.90493512134209242,0.91161300830663994,0.89348243834738972,0.91029678659122448,0.90457775414511532,0.88894619686193599,0.90367075779754535,0.90553166640123162,0.91950464396284826,0.88145222929936307,0.90590869375273042,0.91077164120642384
940,0.90381150771309537,0.93039393615885557,0.9088235294117647,0.90477224605027418,0.91150442477876104,0.89337568058076222,0.91010996049962634,0.90445690530284717,0.88878332157011786,0.90330480801711521,0.90513351382916596,0.91934450731290707,0.88114649681528667,0.90560834425513326,0.91061496278887588
960,0.90367075779754535,0.93015373118394362,0.90853466386554627,0.90444649546663769,0.91128725772300345,0.89302871783922277,0.91005658161631253,0.90438439599748632,0.88853900863239044,0.90322035806778511,0.90481499177151348,0.91907761289633816,0.88091719745222929,0.90547182175622543,0.91053662358010179
980,0.90344555793266523,0.93007366285897297,0.90845588235294117,0.90431076605678917,0.91112438243118521,0.89294864951425212,0.91000320273299884,0.90428771692367182,0.88832184157663285,0.90322035806778511,0.904496469713861,0.91891747624639697,0.88053503184713378,0.90525338575797287,0.91040605823214515
1000,0.90319220808467515,0.92996690509234547,0.9084821428571429,0.90395786959118307,0.91096150713936697,0.89289527063093843,0.90997651329134199,0.90409435877604294,0.88799609099299637,0.9029951582029051,0.90444338270425229,0.91875733959645567,0.8803057324840764,0.90503494975972043,0.91045828437132781
